airline,year,quarter,metric,source_type,reason_code
ALK,2014,Q1,ASM,manual_only,NO_MANUAL_ROW
ALK,2014,Q2,ASM,manual_only,NO_MANUAL_ROW
ALK,2014,Q3,ASM,manual_only,NO_MANUAL_ROW
ALK,2014,Q4,ASM,manual_only,NO_MANUAL_ROW
ALK,2015,FY,ASM,manual_only,NO_MANUAL_ROW
ALK,2015,Q1,ASM,manual_only,NO_MANUAL_ROW
ALK,2015,Q2,ASM,manual_only,NO_MANUAL_ROW
ALK,2015,Q3,ASM,manual_only,NO_MANUAL_ROW
ALK,2015,Q4,ASM,manual_only,NO_MANUAL_ROW
ALK,2016,FY,ASM,manual_only,NO_MANUAL_ROW
ALK,2016,Q1,ASM,manual_only,NO_MANUAL_ROW
ALK,2016,Q2,ASM,manual_only,NO_MANUAL_ROW
ALK,2016,Q3,ASM,manual_only,NO_MANUAL_ROW
ALK,2016,Q4,ASM,manual_only,NO_MANUAL_ROW
ALK,2017,FY,ASM,manual_only,NO_MANUAL_ROW
ALK,2017,Q1,ASM,manual_only,NO_MANUAL_ROW
ALK,2017,Q2,ASM,manual_only,NO_MANUAL_ROW
ALK,2017,Q3,ASM,manual_only,NO_MANUAL_ROW
ALK,2017,Q4,ASM,manual_only,NO_MANUAL_ROW
ALK,2018,FY,ASM,manual_only,NO_MANUAL_ROW
ALK,2018,Q1,ASM,manual_only,NO_MANUAL_ROW
ALK,2018,Q2,ASM,manual_only,NO_MANUAL_ROW
ALK,2018,Q3,ASM,manual_only,NO_MANUAL_ROW
ALK,2018,Q4,ASM,manual_only,NO_MANUAL_ROW
ALK,2019,FY,ASM,manual_only,NO_MANUAL_ROW
ALK,2019,Q1,ASM,manual_only,NO_MANUAL_ROW
ALK,2019,Q2,ASM,manual_only,NO_MANUAL_ROW
ALK,2019,Q3,ASM,manual_only,NO_MANUAL_ROW
ALK,2019,Q4,ASM,manual_only,NO_MANUAL_ROW
ALK,2020,FY,ASM,manual_only,NO_MANUAL_ROW
ALK,2020,Q1,ASM,manual_only,NO_MANUAL_ROW
ALK,2020,Q2,ASM,manual_only,NO_MANUAL_ROW
ALK,2020,Q3,ASM,manual_only,NO_MANUAL_ROW
ALK,2020,Q4,ASM,manual_only,NO_MANUAL_ROW
ALK,2021,FY,ASM,manual_only,NO_MANUAL_ROW
ALK,2021,Q1,ASM,manual_only,NO_MANUAL_ROW
ALK,2021,Q2,ASM,manual_only,NO_MANUAL_ROW
ALK,2021,Q3,ASM,manual_only,NO_MANUAL_ROW
ALK,2021,Q4,ASM,manual_only,NO_MANUAL_ROW
ALK,2022,FY,ASM,manual_only,NO_MANUAL_ROW
ALK,2022,Q1,ASM,manual_only,NO_MANUAL_ROW
ALK,2022,Q2,ASM,manual_only,NO_MANUAL_ROW
ALK,2022,Q3,ASM,manual_only,NO_MANUAL_ROW
ALK,2022,Q4,ASM,manual_only,NO_MANUAL_ROW
ALK,2023,FY,ASM,manual_only,NO_MANUAL_ROW
ALK,2023,Q1,ASM,manual_only,NO_MANUAL_ROW
ALK,2023,Q2,ASM,manual_only,NO_MANUAL_ROW
ALK,2023,Q3,ASM,manual_only,NO_MANUAL_ROW
ALK,2023,Q4,ASM,manual_only,NO_MANUAL_ROW
ALK,2024,FY,ASM,manual_only,NO_MANUAL_ROW
ALK,2024,Q1,ASM,manual_only,NO_MANUAL_ROW
ALK,2024,Q2,ASM,manual_only,NO_MANUAL_ROW
ALK,2024,Q3,ASM,manual_only,NO_MANUAL_ROW
ALK,2024,Q4,ASM,manual_only,NO_MANUAL_ROW
ALK,2025,FY,ASM,manual_only,NO_MANUAL_ROW
ALK,2025,Q1,ASM,manual_only,NO_MANUAL_ROW
ALK,2025,Q2,ASM,manual_only,NO_MANUAL_ROW
ALK,2025,Q3,ASM,manual_only,NO_MANUAL_ROW
ALK,2025,Q4,ASM,manual_only,NO_MANUAL_ROW
ALK,2026,Q1,ASM,manual_only,NO_MANUAL_ROW
ALK,2014,FY,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALK,2014,Q1,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALK,2014,Q2,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALK,2014,Q3,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALK,2014,Q4,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALK,2015,FY,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALK,2015,Q1,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALK,2015,Q2,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALK,2015,Q3,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALK,2015,Q4,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALK,2016,FY,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALK,2016,Q1,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALK,2016,Q2,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALK,2016,Q3,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALK,2016,Q4,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALK,2017,FY,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALK,2017,Q1,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALK,2017,Q2,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALK,2017,Q3,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALK,2017,Q4,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALK,2018,FY,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALK,2018,Q1,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALK,2018,Q2,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALK,2018,Q3,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALK,2018,Q4,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALK,2019,FY,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALK,2019,Q1,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALK,2019,Q2,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALK,2019,Q3,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALK,2019,Q4,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALK,2020,FY,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALK,2020,Q1,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALK,2020,Q2,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALK,2020,Q3,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALK,2020,Q4,Passenger Revenue,manual_only,NO_MANUAL_ROW
